iter	Passed	Remaining
1475	133368	47347
1476	133483	47266
1477	133576	47176
1478	133661	47084
1479	133751	46993
1480	133839	46902
1481	133923	46810
1482	134012	46718
1483	134095	46626
1484	134175	46532
1485	134259	46439
1486	134341	46346
1487	134417	46251
1488	134509	46161
1489	134607	46073
1490	134687	45979
1491	134775	45888
1492	134856	45795
1493	134936	45701
1494	135020	45609
1495	135105	45516
1496	135188	45423
1497	135279	45333
1498	135367	45243
1499	135447	45149
1500	135536	45058
1501	135640	44972
1502	135731	44882
1503	135820	44791
1504	135909	44701
1505	135992	44608
1506	136085	44518
1507	136164	44425
1508	136242	44330
1509	136332	44240
1510	136408	44145
1511	136485	44050
1512	136580	43962
1513	136657	43867
1514	136756	43780
1515	136855	43692
1516	136933	43598
1517	137013	43504
1518	137101	43414
1519	137183	43320
1520	137264	43227
1521	137353	43137
1522	137433	43043
1523	137509	42949
1524	137601	42859
1525	137681	42765
1526	137765	42673
1527	137881	42591
1528	137970	42501
1529	138048	42407
1530	138140	42317
1531	138223	42224
1532	138306	42132
1533	138392	42040
1534	138466	41945
1535	138547	41852
1536	138703	41782
1537	138785	41689
1538	138866	41596
1539	138968	41509
1540	139059	41420
1541	139138	41326
1542	139230	41236
1543	139314	41144
1544	139391	41050
1545	139477	40959
1546	139578	40872
1547	139654	40777
1548	139737	40685
1549	139840	40598
1550	139919	40505
1551	140076	40434
1552	140216	40358
1553	140311	40269
1554	140396	40177
1555	140474	40084
1556	140566	39994
1557	140646	39900
1558	140731	39809
1559	140819	39718
1560	140893	39623
1561	140968	39528
1562	141051	39436
1563	141141	39346
1564	141237	39257
1565	141325	39166
1566	141404	39073
1567	141483	38980
1568	141580	38891
1569	141660	38798
1570	141736	38704
1571	141829	38615
1572	141907	38521
1573	141982	38427
1574	142075	38337
1575	142156	38245
1576	142237	38152
1577	142354	38069
1578	142432	37976
1579	142519	37884
1580	142616	37796
1581	142690	37702
1582	142766	37608
1583	142844	37514
1584	142935	37424
1585	143012	37331
1586	143103	37241
1587	143179	37147
1588	143255	37053
1589	143350	36964
1590	143452	36877
1591	143538	36786
1592	143626	36695
1593	143702	36601
1594	143795	36512
1595	143877	36420
1596	143958	36327
1597	144050	36237
1598	144134	36146
1599	144209	36052
1600	144294	35961
1601	144369	35867
1602	144471	35779
1603	144577	35693
1604	144655	35600
1605	144731	35507
1606	144823	35417
1607	144902	35324
1608	144986	35232
1609	145081	35144
1610	145161	35051
1611	145241	34958
1612	145331	34868
1613	145413	34776
1614	145508	34687
1615	145614	34601
1616	145702	34510
1617	145780	34417
1618	145865	34326
1619	145946	34234
1620	146023	34141
1621	146109	34050
1622	146191	33958
1623	146274	33866
1624	146360	33775
1625	146435	33681
1626	146524	33591
1627	146617	33502
1628	146711	33413
1629	146800	33322
1630	146887	33232
1631	146964	33139
1632	147046	33047
1633	147141	32958
1634	147219	32865
1635	147296	32772
1636	147380	32681
1637	147463	32589
1638	147551	32499
1639	147637	32408
1640	147714	32315
1641	147810	32226
1642	147905	32137
1643	147989	32046
1644	148070	31954
1645	148156	31863
1646	148239	31771
1647	148330	31682
1648	148415	31591
1649	148504	31500
1650	148582	31408
1651	148665	31316
1652	148743	31224
1653	148817	31131
1654	148927	31045
1655	149011	30954
1656	149090	30861
1657	149177	30771
1658	149257	30679
